actor_id,Comedy,Fantasy,Romance,Drama,Mystery,Thriller,Action,Biography,Crime,War,Adventure,Sci-Fi,Animation,Musical,History,Horror,Documentary,Sport,News,Family,Music,,Western,Short,Reality-TV
nm0000609,3.0,1.0,0.0,12.0,1.0,14.0,19.0,2.0,13.0,0.0,4.0,2.0,1.0,0.0,0.0,5.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
nm0735442,3.0,2.0,2.0,3.0,1.0,8.0,14.0,0.0,10.0,0.0,3.0,3.0,0.0,0.0,0.0,4.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
nm1011675,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
nm0668994,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
nm0000228,6.0,0.0,1.0,16.0,2.0,3.0,2.0,4.0,4.0,1.0,1.0,3.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0
nm0000194,13.0,1.0,11.0,33.0,5.0,6.0,4.0,3.0,4.0,0.0,2.0,4.0,0.0,1.0,1.0,2.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
nm0001132,8.0,0.0,5.0,15.0,2.0,3.0,4.0,4.0,2.0,2.0,7.0,1.0,2.0,0.0,3.0,0.0,1.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0
nm0000949,10.0,4.0,9.0,29.0,1.0,3.0,9.0,5.0,7.0,0.0,9.0,1.0,2.0,0.0,3.0,1.0,2.0,0.0,0.0,2.0,3.0,0.0,1.0,0.0,0.0
nm0184392,7.0,1.0,1.0,11.0,0.0,13.0,16.0,0.0,4.0,0.0,5.0,2.0,0.0,0.0,0.0,8.0,1.0,1.0,0.0,3.0,0.0,0.0,4.0,0.0,0.0
nm0566044,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
nm0007940,2.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
nm0120494,4.0,0.0,1.0,2.0,2.0,3.0,5.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
nm0001772,5.0,1.0,1.0,7.0,0.0,1.0,10.0,0.0,2.0,0.0,11.0,6.0,3.0,0.0,0.0,1.0,5.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
nm0000463,5.0,1.0,5.0,14.0,5.0,13.0,10.0,1.0,9.0,0.0,3.0,2.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
nm0000169,6.0,0.0,1.0,12.0,3.0,6.0,6.0,1.0,9.0,2.0,7.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0
nm0000226,8.0,4.0,2.0,10.0,1.0,2.0,12.0,4.0,3.0,0.0,7.0,3.0,1.0,0.0,0.0,1.0,1.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
nm0001800,7.0,0.0,4.0,7.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
nm0001223,3.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
nm0000354,7.0,4.0,4.0,24.0,4.0,13.0,12.0,5.0,6.0,0.0,6.0,4.0,2.0,0.0,5.0,0.0,8.0,2.0,2.0,1.0,1.0,0.0,2.0,0.0,0.0
nm0000106,15.0,0.0,8.0,11.0,0.0,0.0,3.0,3.0,1.0,0.0,6.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
nm0000597,8.0,0.0,1.0,15.0,2.0,2.0,3.0,3.0,3.0,0.0,3.0,2.0,1.0,0.0,2.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
nm0108028,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
nm0005450,6.0,0.0,0.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
nm0000422,16.0,1.0,3.0,16.0,2.0,4.0,6.0,3.0,7.0,0.0,7.0,2.0,6.0,1.0,0.0,3.0,1.0,1.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0
nm0457755,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
nm0911320,11.0,0.0,0.0,4.0,0.0,2.0,1.0,0.0,0.0,0.0,5.0,2.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
nm0000307,6.0,3.0,3.0,11.0,0.0,0.0,2.0,3.0,2.0,1.0,9.0,1.0,3.0,1.0,3.0,2.0,2.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0
nm0001833,6.0,3.0,6.0,20.0,1.0,0.0,2.0,6.0,3.0,2.0,3.0,1.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0
